location_id,indicator_id,year,value,rep_meth,ingested_at,flags,source_file,source_col
3,582,1995,4.0,100.0,2025-12-15 21:02:16.411629,,tb_outcomes.csv,new_sp_coh
3,582,1996,0.0,not_reported,2025-12-15 21:02:16.411664,,tb_outcomes.csv,new_sp_coh
3,582,1997,0.0,not_reported,2025-12-15 21:02:16.411698,,tb_outcomes.csv,new_sp_coh
3,582,1998,4.0,100.0,2025-12-15 21:02:16.411740,,tb_outcomes.csv,new_sp_coh
3,582,1999,3.0,100.0,2025-12-15 21:02:16.411772,,tb_outcomes.csv,new_sp_coh
3,582,2000,2.0,100.0,2025-12-15 21:02:16.411804,,tb_outcomes.csv,new_sp_coh
3,582,2001,2.0,100.0,2025-12-15 21:02:16.411837,,tb_outcomes.csv,new_sp_coh
3,582,2002,1.0,100.0,2025-12-15 21:02:16.411868,,tb_outcomes.csv,new_sp_coh
3,582,2003,2.0,100.0,2025-12-15 21:02:16.411899,,tb_outcomes.csv,new_sp_coh
3,582,2004,3.0,100.0,2025-12-15 21:02:16.411930,,tb_outcomes.csv,new_sp_coh
3,582,2005,4.0,100.0,2025-12-15 21:02:16.411961,,tb_outcomes.csv,new_sp_coh
3,582,2006,0.0,not_reported,2025-12-15 21:02:16.411992,,tb_outcomes.csv,new_sp_coh
3,582,2007,0.0,102.0,2025-12-15 21:02:16.412026,,tb_outcomes.csv,new_sp_coh
3,582,2008,0.0,102.0,2025-12-15 21:02:16.412057,,tb_outcomes.csv,new_sp_coh
3,582,2009,3.0,100.0,2025-12-15 21:02:16.412088,,tb_outcomes.csv,new_sp_coh
3,582,2010,0.0,102.0,2025-12-15 21:02:16.412119,,tb_outcomes.csv,new_sp_coh
3,582,2011,0.0,not_reported,2025-12-15 21:02:16.412150,,tb_outcomes.csv,new_sp_coh
3,582,2012,0.0,not_reported,2025-12-15 21:02:16.412181,,tb_outcomes.csv,new_sp_coh
3,582,2013,0.0,not_reported,2025-12-15 21:02:16.412214,,tb_outcomes.csv,new_sp_coh
3,582,2014,0.0,not_reported,2025-12-15 21:02:16.412245,,tb_outcomes.csv,new_sp_coh
3,582,2015,0.0,not_reported,2025-12-15 21:02:16.412275,,tb_outcomes.csv,new_sp_coh
3,582,2016,0.0,not_reported,2025-12-15 21:02:16.412306,,tb_outcomes.csv,new_sp_coh
3,582,2017,0.0,not_reported,2025-12-15 21:02:16.412337,,tb_outcomes.csv,new_sp_coh
3,582,2018,0.0,not_reported,2025-12-15 21:02:16.412368,,tb_outcomes.csv,new_sp_coh
3,582,2019,0.0,not_reported,2025-12-15 21:02:16.412398,,tb_outcomes.csv,new_sp_coh
3,582,2020,0.0,not_reported,2025-12-15 21:02:16.412432,,tb_outcomes.csv,new_sp_coh
3,582,2021,0.0,not_reported,2025-12-15 21:02:16.412465,,tb_outcomes.csv,new_sp_coh
3,582,2022,0.0,not_reported,2025-12-15 21:02:16.412497,,tb_outcomes.csv,new_sp_coh
3,582,2023,0.0,not_reported,2025-12-15 21:02:16.412529,,tb_outcomes.csv,new_sp_coh
4,582,1994,0.0,not_reported,2025-12-15 21:02:16.412561,,tb_outcomes.csv,new_sp_coh
4,582,1995,0.0,not_reported,2025-12-15 21:02:16.412593,,tb_outcomes.csv,new_sp_coh
4,582,1996,0.0,not_reported,2025-12-15 21:02:16.412624,,tb_outcomes.csv,new_sp_coh
4,582,1997,0.0,not_reported,2025-12-15 21:02:16.412663,,tb_outcomes.csv,new_sp_coh
4,582,1998,2.0,100.0,2025-12-15 21:02:16.412693,,tb_outcomes.csv,new_sp_coh
4,582,1999,3.0,100.0,2025-12-15 21:02:16.412724,,tb_outcomes.csv,new_sp_coh
4,582,2000,2.0,100.0,2025-12-15 21:02:16.412755,,tb_outcomes.csv,new_sp_coh
4,582,2001,1.0,100.0,2025-12-15 21:02:16.412786,,tb_outcomes.csv,new_sp_coh
4,582,2002,3.0,100.0,2025-12-15 21:02:16.412816,,tb_outcomes.csv,new_sp_coh
4,582,2003,6.0,100.0,2025-12-15 21:02:16.412848,,tb_outcomes.csv,new_sp_coh
4,582,2004,3.0,100.0,2025-12-15 21:02:16.412879,,tb_outcomes.csv,new_sp_coh
4,582,2005,5.0,100.0,2025-12-15 21:02:16.412910,,tb_outcomes.csv,new_sp_coh
4,582,2006,8.0,100.0,2025-12-15 21:02:16.412940,,tb_outcomes.csv,new_sp_coh
4,582,2007,2.0,101.0,2025-12-15 21:02:16.412971,,tb_outcomes.csv,new_sp_coh
4,582,2008,3.0,101.0,2025-12-15 21:02:16.413004,,tb_outcomes.csv,new_sp_coh
4,582,2009,3.0,102.0,2025-12-15 21:02:16.413037,,tb_outcomes.csv,new_sp_coh
4,582,2010,0.0,102.0,2025-12-15 21:02:16.413068,,tb_outcomes.csv,new_sp_coh
4,582,2011,1.0,102.0,2025-12-15 21:02:16.413098,,tb_outcomes.csv,new_sp_coh
4,582,2012,0.0,not_reported,2025-12-15 21:02:16.413128,,tb_outcomes.csv,new_sp_coh
4,582,2013,0.0,not_reported,2025-12-15 21:02:16.413158,,tb_outcomes.csv,new_sp_coh
4,582,2014,0.0,not_reported,2025-12-15 21:02:16.413188,,tb_outcomes.csv,new_sp_coh
4,582,2015,0.0,not_reported,2025-12-15 21:02:16.413218,,tb_outcomes.csv,new_sp_coh
4,582,2016,0.0,not_reported,2025-12-15 21:02:16.413248,,tb_outcomes.csv,new_sp_coh
4,582,2017,0.0,not_reported,2025-12-15 21:02:16.413278,,tb_outcomes.csv,new_sp_coh
4,582,2018,0.0,not_reported,2025-12-15 21:02:16.413308,,tb_outcomes.csv,new_sp_coh
4,582,2019,0.0,not_reported,2025-12-15 21:02:16.413338,,tb_outcomes.csv,new_sp_coh
4,582,2020,0.0,not_reported,2025-12-15 21:02:16.413368,,tb_outcomes.csv,new_sp_coh
4,582,2021,0.0,not_reported,2025-12-15 21:02:16.413398,,tb_outcomes.csv,new_sp_coh
4,582,2022,0.0,not_reported,2025-12-15 21:02:16.413428,,tb_outcomes.csv,new_sp_coh
4,582,2023,0.0,not_reported,2025-12-15 21:02:16.413458,,tb_outcomes.csv,new_sp_coh
